                                          POR        JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
12923,GALVESTON,TX                    ,194608-201512,17,18,32,41,50,60,66,70,58,45,29,23,17
12960,HOUSTON,TX                      ,196906-201512,12,20,22,31,42,52,62,60,48,29,19,7,7
23042,LUBBOCK,TX                      ,194701-201512,-16,-8,2,22,27,44,51,51,33,18,-1,-2,-16
23023,MIDLAND-ODESSA,TX               ,193006-201512,-8,-11,9,20,32,47,49,52,36,24,10,-1,-11
12917,PORT ARTHUR,TX                  ,194710-201512,14,13,23,32,42,56,61,60,45,30,22,12,12
23034,SAN ANGELO,TX                   ,190708-201512,1,-1,8,23,35,42,54,45,35,19,12,-4,-4
12921,SAN ANTONIO,TX                  ,194609-201512,0,6,19,31,42,53,62,61,46,27,21,6,0
12912,VICTORIA,TX                     ,195303-201512,14,19,21,33,45,59,66,62,48,31,24,9,9
13959,WACO,TX                         ,194101-201512,-5,4,15,26,34,52,58,53,39,25,17,-4,-5
13966,WICHITA FALLS,TX                ,190701-201512,-12,-8,6,24,35,50,54,53,38,21,14,-7,-12
24127,SALT LAKE CITY,UT               ,194801-201512,-22,-14,2,15,25,35,40,37,27,16,-14,-15,-22
14742,BURLINGTON,VT                   ,194012-201512,-30,-30,-20,2,24,33,39,35,25,15,-2,-26,-30
13733,LYNCHBURG,VA                    ,194408-201512,-10,-11,5,20,31,40,49,45,35,21,8,-4,-11
13737,NORFOLK,VA                      ,194601-201512,-3,8,18,28,36,45,54,49,45,27,20,7,-3
13740,RICHMOND,VA                     ,193903-201512,-12,-8,10,23,31,40,51,47,35,21,14,1,-12
13741,ROANOKE,VA                      ,194801-201512,-11,-1,9,20,31,39,47,42,34,22,9,-4,-11
93739,WALLOPS ISLAND,VA               ,196610-201512,0,-1,14,27,37,43,53,48,43,29,19,4,-1
24227,OLYMPIA,WA                      ,194801-201512,-8,-1,9,23,25,30,35,33,25,14,-1,-7,-8
94240,QUILLAYUTE,WA                   ,196608-201512,7,11,19,23,29,33,38,36,28,23,5,7,5
24233,SEATTLE,WA                      ,194801-201512,0,1,11,29,28,38,43,44,35,28,6,6,0
24157,SPOKANE,WA                      ,188908-201512,-24,-24,-10,14,24,33,37,35,22,7,-21,-25,-25
24160,WALLA WALLA,WA                  ,194901-201512,-18,-9,4,20,26,36,40,42,32,15,-11,-24,-24
24243,YAKIMA,WA                       ,194610-201512,-21,-25,-1,18,25,30,34,35,24,4,-13,-17,-25
03872,BECKLEY,WV                      ,196306-201512,-22,-16,-5,11,23,32,41,36,30,18,4,-18,-22
13866,CHARLESTON,WV                   ,194810-201512,-16,-12,0,19,26,33,46,41,34,17,6,-12,-16
13729,ELKINS,WV                       ,192601-201512,-24,-22,-15,3,20,25,32,34,26,11,-8,-24,-24
03860,HUNTINGTON,WV                   ,196101-201512,-21,-16,-2,20,27,40,46,43,31,16,8,-13,-21
14898,GREEN BAY,WI                    ,188609-201512,-36,-33,-29,7,21,32,40,38,24,8,-12,-27,-36
14920,LA CROSSE,WI                    ,193804-201512,-37,-36,-28,7,26,32,41,36,23,14,-16,-30,-37
